category,ask
家居日用,沃尔玛售卖无保质期腐烂水果 本人于26年9月16日通过沃尔玛APP线上购买一盒小番茄。仅印刷上市日期9月13日，商品为透明塑料盒包装，未标注保质期/最佳食用期限，食用时发现盒内存在多颗小番茄腐烂变质。商家作为经营者负有进货查验、出库质检... 腐烂变质的生鲜果实存在食品安全隐患，属于不符合食品安全标准的食品，侵害消费者安全保障权、公平交易权。
数码3C,9月18日发现降价，页面显示7天价保，商户信息告知不充分 9月13日购买索尼相机，京东平台总是不退差价660多
家居日用,给我虚假电话...大润发不配合我要回我的钱款，跟我说电话给我一个空号联系不上的问我要不要！2025年在大润发充儿童娱乐会员项目搬走退费遇推诿 我于2025年6月23日在大润发招商的商铺充值儿童娱乐项目会员，这个项目更大润苏家屯店有租赁关系，今年9月我发现项目已经搬走，大润发拒绝提供但是租赁信息，拒绝帮我联系退费适宜，仅提供赔付一些员工工作服作为抵偿，我没同意！
本地生活,送到静安区，除非一直闯红绿灯，黄埔区取货，美团外卖跨区派单不合理黄埔取货送静安极易超时 派单时间太不合理了，两个最难跑的区，不然谁来都得超时
游戏,盼之平台对于找回账号总是没法解决 我在2025年3月11日在盼之平台购买了一个CF的游戏账号，这笔订单金额总计462元，然后我于2025年3月27日将此号出售给了螃蟹交易平台。然后2025年10月8日，螃...然后在2025年4月3日，盼之的原卖家就将账号找回了，螃蟹这边就找我来了，我说不是我找回的，是盼之的原卖家找回的，于是我就配合螃蟹联系盼之平台成功将账号找回来了。
电商平台,出来小区之后已经过了拍照时间，送达之后要求我工服拍照，因没有配戴头盔而没有拍照，京东外卖送单遇限戴头盔拍照申诉被拒求免50元罚款 我于2026年9月18日送外卖到一个小区，小区不让戴头盔进，后跟售后客服沟通，客服不让申诉要罚款50元。我当时出来后问了站长站长说让我自己拍一个水印照片，但是客服说不行 请求撤销罚款
影音娱乐,但刚发现扣了我238元的免费，腾讯视频未征求我的意见就自动续费一年 我并没有开通腾讯视频的微信自动续费服务，请退费
影音娱乐,夸克app自动扣费服务不完善，人工客服图标找不到 我在2026年8月15日购买的一月夸克扫描王会员 在2026年9月15日凌晨4:09自动扣费六个月会员——98元。此前未发短信提醒。由于本人是高三住宿生 2026.9.15为周二 拿不到手机 今天下午刚看到扣费记录。此次续费后会员服务本人未使用过。
电商平台,冒着生命危险打伞送的，到了小区楼下，骑车也危险没有雨衣，不让进小区步行致两单超时需退钱 因下雨天气，京东外卖无雨衣雨天骑车冒风险，还不让骑车进去，只能步行，导致这笔订单超时、要求退款，这两个订单，车都只能停小区门口
婚恋交友,完美亲家涉嫌亲啊hi 本人使用完美亲家 APP，现在主观意愿不想继续使用该相亲服务，想要暂停相亲展示或者注销账号。 联系客服后，客服解决时效差，并且在我已经明确要关闭服务的情况下反复劝说我不要关闭，人为阻碍我行使账号注销、撤...但是 APP 内没有可直接操作的注销、暂停资料开关，自助按钮没法操作，强制要求必须添加人工平台客服申请办理。
物流快递,请京东尽快对我进行赔付！ 我于2026年9月9日在阳江市阳西县购买了一箱海鲜，海鲜价值1311元，当天下午海鲜在阳西县京东溪头点寄送至江门鹤山市，9月10号，江门鹤山市派送快递员告诉我，她们终点没有收到我这份快递包裹，显示在派送中，我马上打京东客服电话，并告知客服，里面是海鲜，价值一千多元，让客服一定要把快递找到给我派送，不然海鲜会发...
旅游出行,后又改口，且表示是航司定价，降价总是不退差价 我处通过同程旅行购买机票产生差价，平台会对价格进行折价跟进处理，同程拒绝处理，最终还是同程去定价，却拒绝承担差价
共享出行,充电宝订单问题 我与9.11在杭州工程借了充电宝，我只借了一个充电宝，我这里也只拿到一个，但是我却有两笔订单，押金也退不了，我归还了其中一个，另外一个还在计费，两笔订单就差两秒，我怎么可能两秒扫两个
物流快递,顺丰速运以外观未损坏为由拒绝补偿 我于2026年9月7日在闲鱼平台上购买了一颗相机镜头，到货后我录制开箱视频时发现镜头虽外观完好但变焦功能损坏，卖家支付顺丰25元邮费寄至我的所在地，价值200元，卖家在配送前已发视频能证明发货前镜头变焦功能完好，因此我向顺丰速运申请理赔，顺丰速运以外观未损坏为由拒绝赔偿，因此我的诉求是要求顺丰速运赔偿我的损...
游戏,已经申请了未成年退钱，现在腾讯那边没动静了，根据法律规定可以申请3年内的充值退款，腾讯未成年退款 孩子充值了2千多块钱在三角洲行动的游戏里面，但是只退了3个月内的充值，也没有回应
教育,免费易经课引奇门遁甲消费苏州承易通停课失联盼退款 在23年网上看到该公司客服人宣传免费听讲易经课，后来又说学《奇门遁甲》课。我当时没有钱，东挪西借分几次才交齐钱...讲课中引导听课者交费，步步设计听课者报家人出生年月日 给算命和运气等，算命得出，人生有很多危险问题，如总是不解决不行的，为了家人安全听课学习，这样就不是免费学习了，要按照他们公司收费钱数交费的。
家居日用,报名美的智慧家到店礼活动店员不知情白跑太闹心 今天9月18日去了两家美的智慧家参加到店礼活动，店员完全不知道有这个活动，让人白跑一趟，耽误时间和路费。
婚恋交友,Soul忠实用户账号被误判请恢复正常 尊敬的Soul平台工作人员 您好！账号被限制后，反复无法正常使用平台交友互动功能，对本人使用体验造成较大影响。推测可能是发了条瞬间文案产生误会，或是设备登录环境异常触发平台风控识别，造成本次处罚。账号由本人实名注册使用，本人一直遵守平台用户协议与社区规范，不存在主观违规行为。 经过本次处罚，我认真学习平台...
通讯运营商,被恶意网站诱导发国际短信中国移动请退扣费 我本人未发送国际短信， 今天却提示增值业务费点对点短信616.10元。我是在正常浏览网页，被诱导发送国际短信，本人没有开通国际短信需求业务，没有任何付费说明就进行了操作，要求费用退回。 我只是是因为恶意网站要检验要发短信，短信内容由对方编辑，发送时没有提示，扣费时也没有短信提示。并没有按照消费者真实意愿...
服饰鞋包,李宁 本人在成都成华区府青路财富又一城商场一楼李宁专柜购买运动鞋，穿着仅一个月坏掉没法穿，尚在国家鞋类90天三包有效期。门店看过实物，仅拍照上传李宁内部系统，没有把鞋子拿去实物检测，仅凭照片判定为穿用剐蹭破损，二次鉴定不予售后。该内部工单不是法定第三方检测报告，我不认可该结果。诉求：免费协商换新。
共享出行,哈罗不作为不平等条约，把司机不当人 我与2026年9月8号下午1:20左右接了一张哈罗上面的顺风车订单，从广西蒙山到江西上饶的，这笔订单后续有突发情况，是乘客的问题，不是我的问题，然后导致到订单开到了一半路程，后面返回广西蒙山，与2026年9月9号早上8点多这笔订单乘客打电话给客服取消订单，我后面打电话给客服申诉，我来回开1000多公里，后面订单给取消...
通讯运营商,说我超期有未还的金额，2022年6月份把手机卡销户了，并支付了759的违约金，2026年收到电话短信，移动大厅隐瞒顾客 未告知实情 本人于2021年9月份全款买了一部手机并办了张手机卡，当时办卡并没有告知我 私自给我办理了和包信用购，并且销户时也并没有告知手机卡销户了也会产生费用，办卡时未告知给我申请了和包信用购，并且销户时没有提示这笔保理债...
家居日用,诉求：产品我可以不要了但必须有个说法快递单号SF021*********，上海飞科电器股份有限公司售后态度差 本人2026年8月14日将飞科剃须刀，因产品质量问题寄回飞科厂家售后维修 9厂家已签收，至今已满一个月，没有任何维修进度反馈，也没有寄回产品。
旅游出行,严重影响国庆出游！！ 我于8月27日在携程订酒店，要求我取消这笔订单，后续携程联系我说因为酒店关系始终无法正常接待。历时一周后我同意携程提出的现金赔付方案取消订单，遂于9月11日发现携程账号无法正常查看携程平台的酒店信息且无法下单预定。我的携程账号搜不到酒店？
物流快递,才知道屏碎了，客户签收之后发现屏幕漏液，慢慢变黑，物流运输途中导致屏幕碎裂，京东物流损坏货品不理赔 商品为全新笔记本电脑，商品价值一万多，物流目前不理赔
家居日用,店家提供的配料表不完整，存在隐瞒添加成分嫌疑，我向商家索要完整产品配料表，产品含有酸性成分，直接造成孩子牙齿腐蚀受损。使用一段时间后，孩子多颗门牙被酸蚀损坏。兔头妈妈儿童口腔喷雾 我于2023年9月13日购买兔头妈妈护齿喷雾，给孩子日常使用。联系商家平台客服沟通，客服推诿，反复不解决赔偿问题，态度不好。现要求商家进行赔偿 道歉
医疗健康,南昌韩美整形医院北京路 我的诉求是2025年10.24日在韩美整形医院的员工企微上轰炸微信信息多条骚扰情况下买了一张1万的充值卡，当时他们线上搞活动充值1万送1200的优惠券，里1万当12000用，期间我去打过鼻基底，没有任何明显效果，当时我投诉过他们，后才回应我，但是也没有任何效果改变，一针几千块就压根没有任何改变，中间这充值的卡里的钱也...
房产家装,后因不需要装修要求退款商家反复拒不退款，商家未提供装修服务，商家拒退钱希望解决退款 家里老人于2023年成都家博会签署装修合同，诉求退款处理，签齐家网装修合同后没用服务
婚恋交友,还有个30，然后就可以谈就可以谈到女朋友这些我就充了，宿迁创盛网络科技有限公司 他说要我充钱充个几百块钱，然后我现在不想要了，一个58三个98，先把软件给删了，要把钱要回来，他不还给我
汽车,小鹏汽车总是拖延生产，说好十月初交车的L03没影了 2026.08.30买的小鹏L03，汽车厂家拖延生产，现遥遥无期，应十月初交车
服饰鞋包,使用鞋子前后不到两月，皮质裂开等品质问题，抖音平台买的鬼冢虎鞋用俩月出质量问题盼解决 我于2026年5月20日在抖音平台Onitsuka Tiger官方旗舰店购买了一双鞋子，鞋子存在开胶。
影音娱乐,心动日常打卡完成被判定失败付费后平台拒绝返还费用申请 本人使用重庆可兰达科技有限公司旗下心动日常APP，付费参与平台365天情侣打卡活动。我向平台申请退款，平台以虚拟权益、已阅读服务协议为由拒绝退款。软件出现打卡完成后次日判定打卡失败的问题，以此诱导用户高价购买补签卡，本人前后多次充值共计574元。APP设置不支持退款属于单方面免除卖家责任的霸王格式条款，依据...
物流快递,番禺钟村邮政快件到了未派催件打售后人员电话始终打不通 快件于9.10到广州市番禺区钟村，一直未派件。因急用于9.10下午打电话到邮件催件。9.12仍未收到工作人员电话及未派件。诉求：14:00前派送。9.10，9.11，9.12分别打电话催促，客服提供电话，打过去一直通话中，设置了不接听。
金融支付,快钱快捷通道非本人授权扣被快钱支付有限公司通过“快钱快捷”通道，以“正原售后客服电话400*******”为商户名，无故代扣291元，钱291元要求原路退并关权限 本人农业银行卡（尾号3875）在2026年9月12日07:30，在未授权、不知情的情况下。现要求快钱支付有限公司立即全额原路返还费用，并永久关闭该商户对我银行卡...本人从未与该公司签署任何代扣协议，该笔交易属于非本人授权的异常扣款。
游戏,截至目前该笔金币分文未动，全部保留在账号中，发现误充值后我立即停止了所有操作，未用于购买任何皮肤、通行证...该笔充值涉及两个这笔订单，订单号分别为CN162*******、CN162*******，支付方式均为支付宝。守望先锋国服操作失误误购金币未消耗诉求返还费用 2026年9月16日22:39，我在操作《守望先锋》国服游戏时，因操作失误意外购买了价值388元的守望先锋金币，共计7400金币。
通讯运营商,这就是典型的霸王条款！使用超2个G扣费近90元，未有电话提醒！每次都是这样，要求全部退还！！！！！，期间只发了一条短信，流量超量仅收一条短信中国移动多扣90元需全额退回 中国移动在流量使用超出的情况下扣费
婚恋交友,诉求：1.退还本人会员费399元；2.删除本人全部个人信息，停止泄露，禁止继续拨打骚扰电话。平台拒绝退费，并且持续造成骚扰。完美亲家电话骚扰拒绝退钱 本人于2026年8月18日注册并付费购买该平台会员服务，注册后频繁收到大量陌生骚扰推销电话，导致警方停网停机，属于平台泄露本人手机号及个人信息。
汽车,告知说公司在变更经营手续，别克厂家未按国家三包政策执行 我于2023年11月6日购买别克君威汽车，等半年后再说，行驶2万公里保养时发现变速箱渗油，随后联系滨海县森风别克店，之后联系过一直在等，到今年被告知没权限，前几天联系盐城森风厚德店，到店里被告知说我车辆里程6万多公里，已到要保养时间需自费变速箱油一半费用388元，后我联系厂家，被告...
影音娱乐,未提前说明配送时间，规则，语言威胁 线上办卡收取卡费，网络暴力，微信官方认证企业办卡恶意收费， 卡未审核通过， 想要退钱， 对方声称卡片已打印，不退办卡费，人身攻击，网络暴力，怂恿买家报警 跟进处理， 态度恶劣，望严肃处理，后续同步向有关监 察部门提交反映问题
汽车,途虎养车平台店大欺客 我于2026年9月18日在途虎养车平台做保养服务，保养完的时候，前面只有一辆车在洗车，我和现场和工作人员口头说好也需要洗车服务，现场工作人员却没有把我排上号，后续轮到我洗的时候，他就把我的号数排在后面了，耽误了我一个多小时，我现场和他们询问的时候，他们三个工作人员反而一起对我进行口头指责，说是我听错了。...
影音娱乐,他们以公司不退款为由拒绝，进入后感觉就不对随即第三四天提出退出，维权，高收人等理由引诱我交了1399元月费，要他们退回款项 我在6月14号被九紫云购的人员以夸大宣传，我要球他们退款国家有法律
通讯运营商,具体违规事实如下： 该副卡自开通之日起持续产生月功能费及套餐费用，本人名下在完全不知情的情况下被中国联通违规开通了一张副卡，未收到任何短信...近期查询账单时发现，业务开通未经本人确认：本人从未签署任何副卡开通协议，未进行人脸识别验证，本人从未持有、使用或授权他人使用该副卡。联通在本人不知情情况下违规开副卡交付他人使用 本人是中国联通实名用户。
旅游出行,未显著提示限制条件，下单前APP以“新人返现三单每单返现5-28元”诱导消费；本人完成出行/入住/购票后，平台客服以“同一用户/风控/最终解释权”拒发，本人所有的手机号实名都不是一个人，客服却声称系统判定，该行为涉嫌虚...智行火车票涉骗 本人在智行APP（运营方：上海蒜芽信息科技有限公司）参与“新人返现”活动，2026年9月10日下单三单火车票。
医疗健康,大参林卖过期药 投诉举报对象：大参林（白云东凤街店） 地址：广州市白云区东平东凤花园小区西区大参林白云东凤街店 本人于2026年9月16日19:51，付款46.3元，在该门店购买江中利活乳酸菌素片与妈咪爱益生菌。 门店工作人员在售卖时没有检查药品效...回家核对药品有效期后发现：江中利活乳酸菌素片有效期至2026年06月，现已过期，属于过期药品。
游戏,卖出账号买家退款，未换绑就退款，导致账号丢失 本人名下游戏账号实况足球国际服（账号：lcdadad***@163.com 游戏名称：ConstantinKing），2026年9月17日16.22已于交易猫交易平台正常出售给买家豌豆g0ephx，并通过交易猫平台签署合同换绑成823******@qq.com，由买家实际占有、保管，买家豌豆g0ephx于2016年9月17日晚上19：49要求交易猫平台退款表示账号会找回，我不愿...
本地生活,然后我就把它解冻煮开 然后就一股酸味 完全就是吃不了 而且我都说了一个星期了一个星期的客服人员还没跟进处理好 然后找客服就是信息不回，160*****这个客服就是信息完全不回淘宝选购售后总是迟迟不办一星期 客服消息不回复 我说了这个鸡爪吃不了到货全是冷冻的。
房产家装,淘宝左右沙发官方旗舰店私自修改收货地址 我的收货地址甘肃省武威市，但是商家擅自把我的收货地址改为，陕西省咸阳市，商家的理由是，平台要求他们这样做，我没有任何授权，也没有任何同意，擅自给我修改收货地址，导至物流成为中转物流，不是直达物流
旅游出行,滴滴快车特惠单被扣错输停车费未补偿高速费申诉被拒 我于2026.9.9日11.41在滴滴快车平台接了一笔特惠订单，我的接单账号是198********，从莱朋欢住酒店长沙市中心医院店到长沙黄花国际机场订单，在订单结束后误将高速费10元输入成停车费，后面被客服扣走，但是没有补偿我高速费，期间我申诉过一次，但是没有通过，我的诉求是可以扣除我错输的停车费。但是得补偿我高速费，...
影音娱乐,"我要求全额赔偿！，去年刚买的羽绒服花了1699，要求赔偿衣物原价 2026年9月2号在抖音团购洗衣服务后羽绒服被洗坏，商家不搭理,抖音客服说赔付一百二十元"
房产家装,二、事实经过 （一）租赁关系 本人于202...CCB建融家园合作方梦享社区恶意扣留押金，房屋无采光噪音严重 一、投诉举报事项 本人系“CCB建融家园·梦享社区”的实际租客（梦享66栋305），现就建信住房品牌合作方广东梦享投资有限责任公司在租赁合同履行过程中违规扣留押金、房屋不符合居住标准、变相收取服务费等问题，向贵司提出投诉，恳请贵司作为品牌方履行管理责任，督促合作方妥善跟进处理。
服饰鞋包,半个月问题没解决 我于2026年08-31 02: 00：07在抖音商城购买海澜之家床垫商品，商品宣传明确告知厚约5cm，与商家沟通，抖音商城买海澜之家床垫厚度造假，实际并没有，对方告知需要回弹期，但当时已经半个月，抖音官方不作为
房产家装,售后不给处理，态度极其敷衍，鼓包，售后反复不给处理质量问题 床垫出现质量问题。使用还不到一年就已出现质量问题。
电商平台,本人第一时间联系唯品会客服人员申请保价或协商跟进处理，现在又升会319元）近期发现该商品大幅降价，（9.16号商品降至303元。标题： 唯品会售后态度敷衍，以“过保”为由拒绝沟通，仅赔偿10元侮辱消费者 本人于2026年8月26日在唯品会自营店铺购买了一双Adidas运动休闲鞋（这笔订单号：260***********），实付金额341元。然而，唯品会专员在未进行任何有效沟通的情况下，仅发送一条机械式通知，声称“已过保价期...
婚恋交友,此后客服不断变更拒绝理由： 1.首先，刚退款时，多次称“会员经转让后一直不退款”...5月10日本人微信向客服申请退费，后经客服同意于5月30日办理服务转让。服务至6月23日暂停，本人于8月20日正式提出退款。服务期至2027年5月3日，购买携手挚爱科技（北京）有限公司红娘服务，牵手红娘服务退费-强制扣除高额违约金 本人于2026年4月26日通过牵手APP在线支付21780元。
家居日用,格力维修后内机共振：师傅私收个人码、逼先评价、断件未换 2026年9月15日，格力官方维修师傅上门修空调漏水，操作中掰外壳并当场说“里面有个东西断了、要换”，但最终没有更换就离开。并且该师傅要求我先评价后才继续维修。维修后空调内机持续共振，水虽不漏但异响严重，无法正常使用。并且该师傅用微信二维码收款，没有提供官方收款渠道也没有提供发票。拨打格力官方热线95082投...
电商平台,实际商品已经更换过重要零部件皮带轮，并且更换的皮带轮是错误的，和原装的不一样，比原装窄0.5厘米左右。质保一个月，闲鱼偏商家拒退服务差 我于2026年8月30号，商家说商品原装无维修，买的汽车压缩机是坏的并且不对，在闲鱼购买了一个汽车压缩机。导致我损失安装工时以及材料费近300元。9月6日我将商品退回给卖家，卖家以损坏商品为由拒绝退款。9月7日晚上20点50分左右卖...
通讯运营商,要求中国移动出示过户限制依据并协助办理业务 我向长春市营业厅申请办理手机号过户业务，营业厅直接告知不允许过户，没有出示书面文件说明限制依据。 根据电信业务相关规定，在双方证件齐全、无欠费、无在网违规的前提下，手机号应当可以办理过户。请你们核实： 该号码限制过户的书面合同条款、政策依据是什么，请书面告知我； 协助正常办理过户业务； 请在规定时限...
影音娱乐,猫眼收取30%手续费 霸王条款 猫眼恶意收取退票手续费 始终不跟进处理返还费用 吃相难看
影音娱乐,一直不给退款，已告知是被骗，不予退款，购买游戏商品半小时退款遭拒被骗情况未被理会 购买商品半小时之内联系退款
数码3C,能不能退给我谁会用花呗买多个礼包小孩说没用人脸就成功了我急的睡不着想死的心都有未成年人保护法返还费用 未成年孩这谁还的起莫名其妙欠了这么多打又打不的骂又骂不得苹果那边跟进处理模糊不清我真的一点办法没有了求求您们退给我我只是一个农村人奶奶带着我没钱还真想死...，子拿手机玩游戏充值了四个328的钻石礼包还是用的花呗支付我一点都不知道！
旅游出行,"悟空租车线下强制搭售保险拒退 我于2026年9月17日23时47分在悟空租车下单（订单号：[298**********]），线上已付清全款含保障。取车时[成都旭瑞租车]店员以""不买不让取车""强制线下私收180元保障费(收款方:[成都旭瑞租车店员])。已还车，诉求:全额退还强制收取费用，平台处罚违规门店"
金融支付,客服处理不当，京东金融催收超次数售后人员解决不当 京东金融金条跟企业主贷两笔这笔订单暂时没钱偿还。正常一天一个可以接受，但是现在一天都已经十几个了每天多次打电话催收影响到我的生活。
房产家装,共计280元，9/14已报修，但到今日，先后支付了维修费用120元及维修备件费用160元，德施曼售后服务 家中德施曼智能门锁故障，德施曼仍未安排配送（备件），我家中门锁近几日反复无法正常打开或无法关闭，造成极大困扰，从16日开始多次联系德施曼官方，但一直没处理
共享出行,退钱 我充电宝暂停了的，挣钱不容易，然后在暂停时间内还了应该机子没有识别到 还是扣了两天多的钱
物流快递,圆通快递揽收已24小时仍未送达盼尽快配送 24个小时了快递还没送到，揽收到现在已经还没送达。
金融支付,我从未开...此前我一直完全不知情。直到2026年9月10日，我发现本月他们又开始扣费了。这种在我不知情的情况下扣费的行为，属于恶意扣费。 发现后，我联系了分期乐客服，但客服一直推诿扯皮，总是拒不处理。分期乐未告知开通服务扣费多次沟通推诿需退1518元 从2025年10月16日起，分期乐公司在未经我本人知情和同意的情况下，每月从我的银行卡中扣款129元，前后连续扣了12个月。
共享出行,推诿扯皮只 本人租借冲电狼共享充电宝，客服前后说法矛盾，已经将充电宝放回机柜完成归还，已归还但系统无记录被扣149元买断费，冲电狼充电宝，但平台系统没有生成归还记录，直接扣除149元买断费用。 我联系冲电狼人工客服处理，客服一开始告知订单设备上报异常，可以按实际归还时间核算费用退款；后续又改口说不支持退款，之后提出最多只能退款70元，前后答复反复矛盾。 我主动提出可以往返现场核验充电...
教育,抖音广告招短剧推广收4680北京易通万合承诺赚五千没做到不退钱 我与26年7月11日在抖音平台上看广告。这家公司招收短剧推广人员。公司我们交4680元一级授权后进行短剧推广。保证一个月内赚到5000元。如果赚不到5000元。交的费用原路退回。至后的50天内我没有赚到一分钱。我发现上当受骗了要求退款他们不退。
教育,骗交费1680元，快手，各大平台赚月入几千或上万的收入，说只要跟她们学习上课就能在抖音，学七个多月仅赚09元要求北京金桔智教退款 我是2026年1月31日17.24分被她们虚假宣传，在直播间一直给我们看她们前期的学员，一天赚多少，一周赚多少，月入多少，可真的跟她们学了之后才知道受骗了，都是骗人的，我做了七个多月，只赚了1.09元，她们承诺说只要赚不到钱都可...
电商平台,我的诉求：对订单重...我向平台申请售后维权，唯品会平台客服以签收一段时间，没法核实存放情况为由，拒绝退换货和任何补贴，没有其他解决方案。本次不是7天无理由退货，属于商品本身质量问题纠纷，平台单方面拒绝售后，侵害消费者权益。订单尾号3120，唯品会以签收久为由拒质量问题售后盼核查3120这笔订单退赔 我要反映问题广州唯品会信息科技有限公司，商品存在质量问题，在平台购买皮带。
婚恋交友,携手朝暮科技（北京）有限公司‑牵手APP虚假宣传，拒不退还婚恋服务费 我于【2026年7月5日】在牵手APP（运营方：携手朝暮科技（北京）有限公司）购买婚恋会员服务，支付服务费【4298】元。付费后该平台提供的相亲匹配服务不符合事前约定标准，未履行合同义务。我多次向平台申请解除合同并退还剩余费用，平台以不满一个月为由驳回我的退款诉求，后续一个月满后依旧不满提供的服务再次提出退款...
金融支付,不给放款还不给退缴的11430元流水信用流水，中信消费金融申请贷款无果还反复拒不退还11430元相关流水资金 我与2026年9月17日申请贷款
房产家装,然后现在自如说不满足三天无理由截止到15号，我相当于13好才能搬进来，相当于才住了两个晚上， 但实际到13号售后人员管家服务才完成物业交割还是我去催的。26年9月自如租房搬入后仅住两晚被拒无理由 我于2026年9月10日在自如平台签约了一间独立卧室。
通讯运营商,消除宽带 2026年月办理的手机号与宽带，因话费过高总是无法正常降低套餐，用了两个半月，需要销户，2026年9月18日去营业厅，员工告知有合约无法取消，如果取消需要付违约金740元，从支付宝直接扣除违约金联系电话196********
汽车,销售承诺赠送保养券、底盘护板，提车3个月拒不兑现，销售已调走，始终迟迟不处理没人联系 投诉标题：方程豹门店购车 投诉正文： 本人，联系电话188****，于【2026.6.20】在【深圳坪山方程豹门店】购买方程豹【车型，钛3 501后驱Ultra版】，车辆VIN码：【车架号】。 购车洽谈阶段，门店销售明确承诺，购车赠送保养券+底盘护板，该承诺有微信聊天记录、通...
影音娱乐,我和商家反应后，商家要求我需要给他好评才可以给我退回款项，上面有一个坑，同信车品改装社欺骗消费者 我在抖音平台购买了一个保险杠贴，贴上后发现商品破损，不好评一直没法处理。我现在诉求退款50元到我...我通过抖音平台正常申请退款25元补偿，商家以我提供举证属实拒绝我的退款，在我和商家的沟通中商家已经承认自己的产品问题，但是仍然拒绝退款问题。
旅游出行,智行付款未出票迟迟不退款 智行扣款成功、未生成12306车票、订单显示未付款，已取消订单，要求加急原路退款
影音娱乐,沟通过程中售后人员无端对我进行人身攻击和谩骂，语言粗俗不堪，收到货后发现是三无产品，微信小店客服对三无产品辱客投诉既始终没有解决也不反馈毫无交代 我于2026年9月13在微信小店羽蓝家具优选店下单了厨房收纳拉篮，于是跟客服沟通，遂投诉至微信小店客服，截至今日，微信小店客服在向我反馈处理情况时拒绝提供具体处理措施，无论对店铺出售三无产品还是店铺客服的不当言行，对消费者投...
电商平台,我就质问他们正常手机会不会...10分钟后自己便联系了客服，商家拒担责逼用户检测 9.12日在拼多多百亿补贴购买手机，9.18到货后自己激活看到手机提示屏幕非原装，客服一直说让我去做检测，拼多多百亿补贴购买的手机激活后屏幕非原装，可是最近的app检测需要十天后，客服说十天后就没有七天退货了，把消费者往死路上逼，换句话说明明是他们的质量问题为什么要消费者承担，商家一直避而不谈！
汽车,广安建国汽车销售服务有限公司不退购车订金 2026/9/6日，我经了解在广安建国汽车销售服务有限公司4S店咨询车辆，过程中意向哈弗猛龙plus195Max领航版1辆，当时销售经理给我约定，说是给他老板申请一个最低金额，去外面一会后跟我讲申请成功了，必须要先订金才可锁定此价格，诱导我下单订金并强制捆绑上牌费500元，在订车协议书固定条款外，额外手写了车辆调运非质...
家居日用,"美的样机承诺售后同新机不兑现，维修损坏内腔后拒绝免费换新机 2026 年 6 月 2 日在京‮线东‬下门店‮买购‬美的 BS50S6W 蒸‮一烤‬体机样机（2800 元，半价），导‮承购‬诺 ""售‮跟后‬新机一样""。安装时售后称无‮码编‬无法安装，最终凭售‮出后‬具证明保修。使用不到‮个两‬月门板进灰，售后上‮换门‬门板时将‮机我‬器内腔门铰‮处链‬烤漆刮伤。后我通过手机联‮读机‬出机‮编身‬码，售后‮编凭‬..."
金融支付,有用户反映租赁总支出远超设备官网售价，且平台拒开发票。租小派变相收高额检测赔付费，支付宝袒护反复不处理 我要反映问题支付宝里面的店铺租小派，变相收取高额检测费用及高额赔偿，支付宝平台好像默认租小派平台这种行为，我在快手抖音多方App查了租小派平台，存在高价租赁、强制捆绑收费（如碎屏保、签约费）以及超额收费。然而支付宝平台从来没有做出任何处罚，调整，租小...
游戏,网易游戏算错金币优惠差价买礼包多花2158盼退货退款 订单#CN162******* 订单#CN162******* 两笔订单，分别为11800金币+3158金币，购买了本应该12800金币的礼包，商家未写明礼包差异、未能正确计算优惠差价，导致玩家购买时多支付2158金币。方案一：直接发放2158金币差价至账户，方案二：退款上述两笔订单，我重新购买，
汽车,爱玛铅酸电池仅用一年就出现质量问题 2025年7月份买了一辆爱玛电动两轮，用的是天能爱玛专用，72v32A的，刚1年左右电瓶，今天8月分车子突然不走了，去店里检查，一块电瓶坏掉了换了一块，刚9月份，又不走了，估计又是一块电瓶坏了，爱玛新电动车电瓶就是这样吗，供应的铅酸电池只能够一年左右，还是质量问题，消费者还敢买这样产品吗，爱玛，总不能像电动汽...
通讯运营商,中国移动恶意扣除费用 我在2026年7月，被中国移动恶意扣费101元，以前都是68元的话费，恶意把副卡的话费添加增值服务费用，在2026年9月17日，中国移动客服10086打电话给我退还多余扣除费用，表示24小时内到账，但是一直未退还到账，要求多余扣除的钱全部退还，并且要求处理费用业务的专员道歉，处罚，要求补偿
旅游出行,2026年9月17日佛山到东莞顺风车未到终点被赶下车致行程耽误 我于2026年9月17号下午15:55分打车，还没送我到达目的地司机叫我给钱，开始是协商好高速费用的，从佛山新维五金加工厂坐顺风车到东莞球霸休闲娱乐办事，我回复她到了目的地就给，然后司机不愿意就叫我下了车，然后开车就跑了，导致让我没有感到时间去处理事情，耽误我的行程，只能从下车那里打车回佛山，请求平台解决一...
本地生活,我说这个太大我拿不了。有一个星马超市定单，等我拿到物品，商户是一个大件物品，故意把这笔订单号贴在小件上，星马快送超市 我是一个骑手，点了取货以后，商家又追出来和我说不是这个是地上这个。我因为点了取货没办法上报，打客服人员又打不进去，只能给顾客打电话说明情况，让顾客取消订单。结果第二天，美团就来了个违规扣款。我申诉二次...
通讯运营商,浙江移动流量超量不提示乱扣费送的流量用不上希望处理 2026-9-15浙江移动10086号提示我流量超了5元。后来流量再超没提示，9月18号4点左右今天凌晨信息直接提示流量超了50元，直接话费没了充值50元，我马上买了流量包一天的。移动已经不是一次这样了，乱扣费乱收费，送的流量都是用不到的app流量，态度不好，希望相关部门严查和处罚。老百姓的钱这么好骗啊，刚刚10086来电态度...
